step              M              B          Fed_R            M/B             rr
1            659.05          100.0          32.26           6.59          5.45%
2            474.86         300.17          32.26           1.58           5.3%
3            440.75         206.98          12.67           2.13          5.69%
4            448.51          215.4          14.75           2.08          5.42%
5             452.5         212.72          14.24           2.13          5.64%
6            452.94         222.65          15.12           2.03          5.38%
7            549.64         280.51          14.03           1.96          5.31%
8            693.83         415.95          15.78           1.67          5.15%
9            796.95         384.19          15.93           2.07          5.52%
10           774.45         345.66          24.53           2.24          5.98%
11            819.5         460.85          28.57           1.78           5.4%
12           800.47         350.04          22.46           2.29          5.66%
13            794.9          355.6          28.03           2.24          5.48%
14           948.13         479.46          27.16           1.98          5.13%
15           732.92         364.03          26.85           2.01          5.38%
16           737.05          359.9          22.72           2.05          5.57%
17           736.25          360.7          23.52           2.04          5.21%
18            761.5         306.44          22.03           2.49          5.69%
19           755.14         312.79          28.38           2.41          5.26%
20           740.69         340.65          26.28           2.17          5.01%
21           680.97         329.64          22.69           2.07          4.59%
22           685.47         325.14          18.19           2.11           4.6%
23           832.12         384.57          18.25           2.16          4.88%
24           963.08         415.46          23.62           2.32          4.97%
25           957.16         421.39          29.54           2.27          4.88%
26           957.68         420.86          29.02           2.28          4.99%
27           952.21         407.68           29.7           2.34          5.29%
28          1017.79         514.28          31.96           1.98           5.2%
29          1020.23         511.84          29.52           1.99          5.55%
30          1029.73         396.91          31.49           2.59          5.97%
31           951.97         341.91          41.55           2.78          6.45%
32          1323.45         735.52          44.73            1.8          5.98%
33          1137.11         418.03          40.49           2.72          6.48%
34          1125.73         429.41          51.87           2.62          5.87%
35           1130.6         424.54           47.0           2.66          6.07%
36          1328.91          599.4          48.54           2.22          5.98%
37           1258.6         634.18          49.45           1.98          5.51%
38          1340.12         703.29          39.84           1.91           5.1%
39          1419.27          642.2          36.51           2.21          5.31%
40          1410.68         650.79           45.1           2.17          4.86%
41          1467.68          759.7          41.36           1.93          4.43%
42          1406.27         611.24          35.01            2.3          4.71%
43          1291.52         521.29           40.7           2.48          4.71%
44          1234.93         449.02           40.1           2.75          4.95%
45           951.28         303.16          42.83           3.14          5.33%
46           954.97         299.47          39.14           3.19          5.66%
47           922.76         346.63          41.55           2.66           5.4%
48           928.68          340.7          35.63           2.73          5.63%
49           861.49         279.88          37.11           3.08          6.13%
50           849.46         341.63          40.19           2.49           5.9%
51           909.97         322.83          34.72           2.82          6.27%
52           985.18         372.54          41.18           2.64          6.18%
53          1048.74         437.34          42.96            2.4           5.9%
54          1050.58          435.5          41.12           2.41          6.28%
55            832.5         317.83          43.78           2.62          6.85%
56            835.0         315.33          41.28           2.65          7.29%
57           653.27         236.79          43.93           2.76          7.98%
58           655.88         277.69          40.24           2.36          7.19%
59           663.16         270.41          32.96           2.45          7.66%
60            718.9         331.35          35.11           2.17          7.49%
61           682.22          336.1          34.29           2.03          7.47%
62           539.28         185.46          30.97           2.91          8.02%
63           556.78         275.69          33.33           2.02          7.49%
64           555.67         223.74          26.05           2.48          7.52%
65           552.85         226.57          28.87           2.44          7.39%
66           542.54         227.35          28.39           2.39          7.35%
67            552.1         213.27          27.35           2.59          7.64%
68           372.81         133.72          30.08           2.79           8.2%
69           374.13         141.57          24.54           2.64          7.87%
70           414.09          183.1          22.16           2.26          7.33%
71           446.41         199.43          20.17           2.24          7.29%
72            447.5         137.72          20.95           3.25          7.44%
73           432.88         123.04          26.17           3.52          8.11%
74           443.81         186.19          29.38           2.38          7.82%
75           448.46         181.54          24.73           2.47          8.56%
76           555.84         240.41          27.08           2.31          8.28%
77           613.84         272.82          30.59           2.25          7.51%
78           761.14         360.76          30.21           2.11          7.06%
79           758.82         363.08          32.53           2.09          6.93%
80           759.42         362.48          31.93            2.1          7.01%
81           882.19          428.3          32.32           2.06          6.32%
82           881.74         428.75          32.77           2.06          6.25%
83            944.6          445.8          32.41           2.12          6.26%
84           492.63         186.87          35.28           2.64          6.75%
85            502.5          177.0          25.41           2.84          7.13%
86           440.79         195.44          26.84           2.26           6.6%
87           405.78         123.12          19.73            3.3          7.16%
88           380.52         121.42          23.07           3.13          6.93%
89           382.45         119.49          21.14            3.2          7.38%
90           381.06         120.88          22.53           3.15          7.25%
91           360.89         104.95          22.14           3.44          7.44%
92            312.1         116.08          22.34           2.69          7.01%
93           291.28          56.72          16.88           5.14          7.14%
94           289.01          58.99          19.16            4.9          6.54%
95           361.64         103.71          17.55           3.49          6.23%
96           446.24         127.36          18.26            3.5           6.3%
97            480.2         152.16          22.38           3.16          5.73%
98           587.22          89.84          21.37           6.54          6.11%
99           537.78         165.21          33.01           3.26          5.58%
100          550.12         135.62          24.47           4.06           5.8%
