step              M              B          Fed_R            M/B             rr
1            659.05          100.0          32.26           6.59          5.45%
2            639.33         101.35          32.26           6.31          5.39%
3            639.12         101.57          32.47           6.29          5.07%
4            633.55         100.18          30.53           6.32          5.09%
5            633.82          99.91          30.27           6.34          5.22%
6            633.07         100.66          31.02           6.29          5.15%
7            624.44          93.27          30.59            6.7          5.47%
8             586.6          90.77          32.39           6.46          5.35%
9             596.1          82.54          29.97           7.22           5.6%
10           592.36          84.22          32.12           7.03          5.33%
11           593.94          82.64          30.54           7.19           5.5%
12           590.95          81.57          31.48           7.24          5.59%
13           590.44          82.08          31.99           7.19          5.19%
14           566.26          82.89          29.73           6.83          4.98%
15           558.01          81.18          27.04           6.87          5.07%
16           561.19          78.52          26.94           7.15          5.42%
17           532.55          76.91          29.07           6.92          5.05%
18           535.67          73.79          25.95           7.26          5.24%
19           534.71          74.75          26.91           7.15          4.73%
20           539.93          74.78          24.31           7.22          4.92%
21           520.85          74.63          25.26           6.98          4.86%
22           509.95          73.95          24.16            6.9          4.75%
23           503.14          72.68          22.98           6.92          5.13%
24            515.2           75.4          24.43           6.83          4.65%
25           516.93          73.67           22.7           7.02           4.8%
26           517.82          77.41          23.44           6.69          4.37%
27           517.12          74.01           21.3           6.99           4.8%
28           493.88          72.03          23.34           6.86          4.71%
29           494.67          70.27          22.08           7.04          5.18%
30           469.79          70.35          24.26           6.68          5.11%
31           460.66          66.51          22.88           6.93          5.49%
32            446.7          67.54          24.15           6.61          5.18%
33           453.21          66.27          22.14           6.84          5.63%
34           451.06          68.43          24.29           6.59          5.47%
35           449.39          67.16          23.58           6.69          5.89%
36           440.48          69.78          25.27           6.31          5.73%
37           415.45           69.1          24.12           6.01          5.39%
38            409.5          65.06          21.28           6.29          5.58%
39           397.96          64.51           21.6           6.17          5.45%
40           400.13           64.9          20.54           6.17          5.37%
41           394.15          65.01          20.19           6.06          5.03%
42           404.08          61.83          18.58           6.54          5.27%
43            421.6          65.09          19.99           6.48          5.14%
44           447.21           70.0          20.39           6.39          4.88%
45           453.62          68.39          20.39           6.63          5.22%
46           452.35          69.89          22.23           6.47          4.77%
47           438.27          71.14          20.36           6.16          4.31%
48           458.89          68.88          17.59           6.66           4.7%
49           456.49          71.27          19.99            6.4          4.62%
50           434.06          67.92          19.65           6.39          4.47%
51           440.24          63.57          18.13           6.92          4.49%
52           439.83          63.99          18.54           6.87          4.14%
53           441.29          62.53          17.08           7.06          4.37%
54            457.4          62.86          18.05           7.28          4.45%
55           456.29          63.96          19.15           7.13          4.18%
56           451.81           59.3           18.0           7.62          4.34%
57           458.17          58.09           18.6           7.89          4.56%
58           456.85          59.41          19.92           7.69          4.52%
59           467.26          62.04          19.77           7.53          4.34%
60           452.76          62.43          19.29           7.25          3.98%
61           451.51          58.47          17.09           7.72          4.28%
62           459.09          59.52          18.27           7.71           4.1%
63           478.19          57.69          17.87           8.29          4.26%
64           463.04          57.46          19.45           8.06          4.21%
65           478.69          52.93          18.73           9.04          4.57%
66           482.57          55.31          21.17           8.73          4.42%
67           492.98          54.29          20.77           9.08           4.7%
68           491.16          56.11          22.59           8.75          4.31%
69           496.02          55.49          20.69           8.94          4.69%
70           499.06          58.12          22.61           8.59          4.32%
71           492.99          56.54          20.98           8.72           4.7%
72           475.02          58.09          22.46           8.18          4.24%
73           462.58          57.41          19.58           8.06          3.86%
74           463.62          51.19          17.14           9.06          3.89%
75           446.54          52.21          17.38           8.55          3.84%
76           447.45           51.3          16.47           8.72          4.15%
77           452.86          52.59          17.83           8.61          3.96%
78           462.04          51.51          17.25           8.97          4.28%
79           429.74          55.51          19.06           7.74          4.15%
80           415.37           52.0          17.12           7.99          4.34%
81           402.18          50.03          17.25           8.04          4.38%
82            407.0          47.76          16.92           8.52          4.46%
83           424.01          45.99          17.53           9.22          4.46%
84            414.3          45.45          18.43           9.12          4.19%
85           415.72          44.03          17.01           9.44          4.49%
86           386.49          43.76          18.22           8.83          4.07%
87           389.28          40.97          15.43            9.5           4.3%
88           389.35          41.78          16.31           9.32          4.07%
89            385.9          41.27          15.49           9.35          4.13%
90            385.9          41.27           15.5           9.35          3.76%
91           381.73          41.89          14.11           9.11           3.6%
92            389.8          41.57          13.25           9.38          3.93%
93           364.08          43.72          14.71           8.33          3.71%
94           365.81          41.99          12.98           8.71          3.83%
95           348.01          41.87          13.39           8.31          3.52%
96           329.47          38.78          11.72            8.5          3.74%
97           329.43          38.82          11.76           8.49          3.43%
98           336.03          38.82          10.76           8.66          3.56%
99           323.56          38.15          11.36           8.48          3.51%
100          316.91          37.77          10.82           8.39          3.25%
