step              M              B          Fed_R            M/B             rr
1            659.05          100.0          32.26           6.59          5.45%
2            507.12         300.17          32.26           1.69           5.3%
3            453.42         206.98          12.67           2.19          5.69%
4            463.26          215.4          14.75           2.15          5.42%
5            466.74         212.72          14.24           2.19          5.64%
6            468.05         222.65          15.12            2.1          5.38%
7            563.67         280.51          14.03           2.01          5.31%
8            709.61         415.95          15.78           1.71          5.15%
9            812.88         384.19          15.93           2.12          5.52%
10           798.99         345.66          24.53           2.31          5.98%
11           848.07         460.85          28.57           1.84           5.4%
12           822.93         350.04          22.46           2.35          5.66%
13           822.93          355.6          28.03           2.31          5.48%
14           975.29         479.46          27.16           2.03          5.13%
15           759.77         364.03          26.85           2.09          5.38%
16           759.77          359.9          22.72           2.11          5.57%
17           759.77          360.7          23.52           2.11          5.21%
18           783.53         306.44          22.03           2.56          5.69%
19           783.53         312.79          28.38            2.5          5.26%
20           766.97         340.65          26.28           2.25          5.01%
21           703.66         329.64          22.69           2.13          4.59%
22           703.66         325.14          18.19           2.16           4.6%
23           850.38         384.57          18.25           2.21          4.88%
24            986.7         415.46          23.62           2.37          4.97%
25            986.7         421.39          29.54           2.34          4.88%
26            986.7         420.86          29.02           2.34          4.99%
27           981.92         407.68           29.7           2.41          5.29%
28          1049.75         514.28          31.96           2.04           5.2%
29          1049.75         511.84          29.52           2.05          5.55%
30          1061.22         396.91          31.49           2.67          5.97%
31           993.53         341.91          41.55           2.91          6.45%
32          1368.18         735.52          44.73           1.86          5.98%
33           1177.6         418.03          40.49           2.82          6.48%
34           1177.6         429.41          51.87           2.74          5.87%
35           1177.6         424.54           47.0           2.77          6.07%
36          1377.46          599.4          48.54            2.3          5.98%
37          1308.05         634.18          49.45           2.06          5.51%
38          1379.96         703.29          39.84           1.96           5.1%
39          1455.78          642.2          36.51           2.27          5.31%
40          1455.78         650.79           45.1           2.24          4.86%
41          1509.04          759.7          41.36           1.99          4.43%
42          1441.28         611.24          35.01           2.36          4.71%
43          1332.22         521.29           40.7           2.56          4.71%
44          1275.03         449.02           40.1           2.84          4.95%
45           994.11         303.16          42.83           3.28          5.33%
46           994.11         299.47          39.14           3.32          5.66%
47           964.31         346.63          41.55           2.78           5.4%
48           964.31          340.7          35.63           2.83          5.63%
49            898.6         279.88          37.11           3.21          6.13%
50           889.64         341.63          40.19            2.6           5.9%
51           944
